Can Animal that is also Backbone be considered a subcategory of 'Carnivore'?, \nFalse
Can something that eats some Carnivore be considered a subcategory of 'Fish'?, \nFalse
Can something that has_part some Reptile be considered a subcategory of 'Egg'?, \nFalse
Can Meat be considered a subcategory of 'Water'?, \nFalse
Can something that lives_in some Backbone be considered a subcategory of 'Reptile'?, \nFalse
Can Carnivore that is also Vertebrate be considered a subcategory of 'Egg'?, \nFalse
Can something that eats some Bird be considered a subcategory of 'Cat'?, \nFalse
Can Backbone be considered a subcategory of 'something that has_part some Leg'?, \nFalse
Can Backbone that is also Fish be considered a subcategory of 'Carnivore'?, \nFalse
Can Carnivore that is also Herbivore be considered a subcategory of 'Fish'?, \nFalse
Can Meat that is also Reptile be considered a subcategory of 'Water'?, \nFalse
Can Cat that is also Water be considered a subcategory of 'Leg'?, \nFalse
Can Carnivore that is also Leg be considered a subcategory of 'Egg'?, \nFalse
Can Meat be considered a subcategory of 'Egg'?, \nFalse
Can Meat that is also Plant be considered a subcategory of 'Backbone'?, \nFalse
Can Animal that is also Backbone be considered a subcategory of 'Water'?, \nFalse
Can something that eats some Water be considered a subcategory of 'Carnivore'?, \nTrue
Can something that eats some Water be considered a subcategory of 'Egg'?, \nFalse
Can something that eats some Water be considered a subcategory of 'Meat'?, \nFalse
Can Water be considered a subcategory of 'Carnivore'?, \nFalse
Can Thing be considered a subcategory of 'something that eats some Water'?, \nTrue
Can Water be considered a subcategory of 'Egg'?, \nFalse
Can Water be considered a subcategory of 'Meat'?, \nFalse
Can Water be considered a subcategory of 'Animal'?, \nFalse
Can Water be considered a subcategory of 'Reptile'?, \nFalse
Can Water be considered a subcategory of 'Plant'?, \nFalse
Can Water be considered a subcategory of 'Vertebrate'?, \nFalse
Can Water be considered a subcategory of 'Cat'?, \nFalse
Can Water be considered a subcategory of 'Fish'?, \nFalse
Can Water be considered a subcategory of 'Mammal'?, \nFalse
Can Water be considered a subcategory of 'Herbivore'?, \nFalse
Can Water be considered a subcategory of 'Leg'?, \nFalse
Can Water be considered a subcategory of 'Elephant'?, \nFalse
Can Water be considered a subcategory of 'Bird'?, \nFalse
Can Water be considered a subcategory of 'Backbone'?, \nFalse
Can Water be considered a subcategory of 'Wing'?, \nFalse
Can something that eats some Thing be considered a subcategory of 'Carnivore'?, \nFalse
Can Meat be considered a subcategory of 'Elephant'?, \nFalse
Can Vertebrate that is also Water be considered a subcategory of 'Leg'?, \nFalse
Can Carnivore that is also Reptile be considered a subcategory of 'Fish'?, \nFalse
Can Bird be considered a subcategory of 'something that lays some Backbone'?, \nFalse
Can Backbone that is also Fish be considered a subcategory of 'Water'?, \nFalse
Can Elephant that is also Water be considered a subcategory of 'Vertebrate'?, \nFalse
Can Reptile that is also Wing be considered a subcategory of 'Egg'?, \nFalse
Can Backbone that is also Meat be considered a subcategory of 'Elephant'?, \nFalse
Can Backbone that is also Water be considered a subcategory of 'Reptile'?, \nFalse
Can Fish that is also Leg be considered a subcategory of 'Vertebrate'?, \nFalse
Can Egg that is also Mammal be considered a subcategory of 'Backbone'?, \nFalse
Can Egg that is also Leg be considered a subcategory of 'Vertebrate'?, \nFalse
Can something that has_part some Cat be considered a subcategory of 'Water'?, \nFalse
Can Meat that is also Vertebrate be considered a subcategory of 'Carnivore'?, \nFalse
Can Backbone that is also Leg be considered a subcategory of 'Egg'?, \nFalse
Can Mammal that is also Vertebrate be considered a subcategory of 'Wing'?, \nFalse
Can Cat that is also Mammal be considered a subcategory of 'Backbone'?, \nFalse
Can Bird that is also Vertebrate be considered a subcategory of 'Leg'?, \nFalse
Can Cat that is also Egg be considered a subcategory of 'Mammal'?, \nFalse
Can Animal be considered a subcategory of 'something that lays some Vertebrate'?, \nTrue
Can Animal be considered a subcategory of 'Egg'?, \nFalse
Can Animal be considered a subcategory of 'Meat'?, \nFalse
Can Animal be considered a subcategory of 'Carnivore'?, \nFalse
Can Animal be considered a subcategory of 'Water'?, \nFalse
Can Animal be considered a subcategory of 'Reptile'?, \nFalse
Can Animal be considered a subcategory of 'Plant'?, \nFalse
Can Animal be considered a subcategory of 'Vertebrate'?, \nTrue
Can Animal be considered a subcategory of 'Cat'?, \nFalse
Can Animal be considered a subcategory of 'Fish'?, \nFalse
Can Animal be considered a subcategory of 'Mammal'?, \nTrue
Can Animal be considered a subcategory of 'Mammal that is also Vertebrate'?, \nFalse
Can Animal be considered a subcategory of 'Herbivore'?, \nFalse
Can Animal be considered a subcategory of 'Leg'?, \nFalse
Can Animal be considered a subcategory of 'Elephant'?, \nFalse
Can Animal be considered a subcategory of 'Bird'?, \nFalse
Can Animal be considered a subcategory of 'Backbone'?, \nFalse
Can Animal be considered a subcategory of 'Wing'?, \nFalse
Can Animal that is also Elephant be considered a subcategory of 'Water'?, \nFalse
Can Reptile that is also Vertebrate be considered a subcategory of 'Carnivore'?, \nFalse
Can Leg that is also Water be considered a subcategory of 'Egg'?, \nFalse
Can Animal that is also Mammal be considered a subcategory of 'Wing'?, \nFalse
Can Animal that is also Cat be considered a subcategory of 'Backbone'?, \nFalse
Can something that lays some Vertebrate be considered a subcategory of 'Leg'?, \nFalse
Can Cat that is also Egg be considered a subcategory of 'Carnivore'?, \nFalse
Can Animal that is also Leg be considered a subcategory of 'Bird'?, \nFalse
Can something that has_part some Reptile be considered a subcategory of 'Elephant'?, \nFalse
Can something that lives_in some Leg be considered a subcategory of 'Leg'?, \nFalse
Can Mammal that is also Vertebrate be considered a subcategory of 'Egg'?, \nFalse
Can Bird that is also Vertebrate be considered a subcategory of 'Wing'?, \nFalse
Can Bird that is also Carnivore be considered a subcategory of 'Backbone'?, \nFalse
Can something that lays some Wing be considered a subcategory of 'Herbivore'?, \nFalse
Can Cat that is also Wing be considered a subcategory of 'Elephant'?, \nFalse
Can Elephant that is also Water be considered a subcategory of 'Meat'?, \nFalse
Can something that lays some Vertebrate be considered a subcategory of 'Reptile'?, \nFalse
Can Cat that is also Elephant be considered a subcategory of 'Leg'?, \nFalse
Can something that lives_in some Fish be considered a subcategory of 'Backbone'?, \nFalse
Can something that has_part some Animal be considered a subcategory of 'Carnivore'?, \nFalse
Can Backbone that is also Bird be considered a subcategory of 'Wing'?, \nFalse
Can Fish that is also Plant be considered a subcategory of 'Water'?, \nFalse
Can Egg that is also Mammal be considered a subcategory of 'Cat'?, \nFalse
Can Fish that is also Wing be considered a subcategory of 'Egg'?, \nFalse
Can something that has_part some Backbone be considered a subcategory of 'Reptile'?, \nFalse
Can Herbivore that is also Plant be considered a subcategory of 'Backbone'?, \nFalse
Can Egg that is also Elephant be considered a subcategory of 'Vertebrate'?, \nFalse
Can Fish that is also Reptile be considered a subcategory of 'Plant'?, \nFalse
Can Bird that is also Meat be considered a subcategory of 'Herbivore'?, \nFalse
Can Animal that is also Plant be considered a subcategory of 'Carnivore'?, \nFalse
Can something that lays some Water be considered a subcategory of 'Plant'?, \nFalse
Can something that has_part some Plant be considered a subcategory of 'Backbone'?, \nFalse
Can Backbone that is also Leg be considered a subcategory of 'Wing'?, \nFalse
Can Fish that is also Vertebrate be considered a subcategory of 'Water'?, \nFalse
Can Animal that is also Mammal be considered a subcategory of 'Backbone'?, \nFalse
Can something that lays some Fish be considered a subcategory of 'Fish'?, \nTrue
Can something that lays some Fish be considered a subcategory of 'Egg'?, \nFalse
Can something that lays some Fish be considered a subcategory of 'Meat'?, \nFalse
Can something that lays some Fish be considered a subcategory of 'Carnivore'?, \nFalse
Can something that lays some Fish be considered a subcategory of 'Water'?, \nTrue
Can Fish be considered a subcategory of 'Water'?, \nFalse
Can Thing be considered a subcategory of 'something that lays some Fish'?, \nFalse
Can Thing be considered a subcategory of 'Egg'?, \nFalse
Can Thing be considered a subcategory of 'Meat'?, \nFalse
Can Thing be considered a subcategory of 'Carnivore'?, \nFalse
Can Thing be considered a subcategory of 'Water'?, \nFalse
Can Thing be considered a subcategory of 'Animal'?, \nFalse
Can Thing be considered a subcategory of 'Reptile'?, \nFalse
Can Thing be considered a subcategory of 'Plant'?, \nFalse
Can Thing be considered a subcategory of 'Vertebrate'?, \nFalse
Can Thing be considered a subcategory of 'Cat'?, \nFalse
Can Thing be considered a subcategory of 'Fish'?, \nFalse
Can Thing be considered a subcategory of 'Mammal'?, \nFalse
Can Thing be considered a subcategory of 'Herbivore'?, \nFalse
Can Thing be considered a subcategory of 'Leg'?, \nFalse
Can Thing be considered a subcategory of 'Elephant'?, \nFalse
Can Thing be considered a subcategory of 'Bird'?, \nFalse
Can Thing be considered a subcategory of 'Backbone'?, \nFalse
Can Thing be considered a subcategory of 'Wing'?, \nFalse
Can Fish be considered a subcategory of 'Egg'?, \nFalse
Can Fish be considered a subcategory of 'Meat'?, \nFalse
Can Fish be considered a subcategory of 'Carnivore'?, \nFalse
Can Fish be considered a subcategory of 'Animal'?, \nTrue
Can Animal that is also Elephant be considered a subcategory of 'Carnivore'?, \nFalse
Can Leg that is also Water be considered a subcategory of 'Wing'?, \nFalse
Can Animal that is also Fish be considered a subcategory of 'Water'?, \nFalse
