Parent and Person SubClassOf Father, \nTrue
Parent and Person SubClassOf GrandMother, \nFalse
Parent and Person SubClassOf Son, \nTrue
Person SubClassOf Son, False
Parent SubClassOf Son, \nTrue
Parent SubClassOf GrandMother, \nFalse
Parent SubClassOf Thing, \nTrue
Parent SubClassOf Son and Thing, \nTrue
Parent SubClassOf Female, False
Parent SubClassOf Father, True
Parent SubClassOf Father and Son and Thing, \nTrue
Parent SubClassOf Child, \nTrue
Parent SubClassOf Child and Father and Son and Thing, \nTrue
Parent SubClassOf Person, True
Parent SubClassOf Child and Father and Person and Son and Thing, \nHere
Parent SubClassOf Brother, \nFalse
Parent SubClassOf Daughter, \nTrue
Parent SubClassOf Child and Daughter and Father and Son and Thing, \nHere
Parent SubClassOf Man, False
Parent SubClassOf Mother, \nTrue
Parent SubClassOf Child and Father and Mother and Son and Thing, \nHere
Parent SubClassOf GrandParent, \nTrue
Parent SubClassOf Child and Father and GrandParent and Son and Thing, \nHere
Parent SubClassOf Sex, False
Parent SubClassOf Sister, \nFalse
Parent SubClassOf OffSpring, \nTrue
Parent SubClassOf Child and Father and OffSpring and Son and Thing, \nHere
Parent SubClassOf Woman, False
Parent SubClassOf Male, False
Parent SubClassOf Sibling, \nFalse
Parent SubClassOf GrandFather, \nFalse
GrandParent and Person SubClassOf Woman, \nTrue
GrandParent and Person SubClassOf GrandMother, \nFalse
GrandParent and Person SubClassOf Son, \nTrue
GrandParent SubClassOf Son, \nFalse
GrandFather SubClassOf OffSpring, False
hasParent some GrandMother SubClassOf Male, \nFalse
GrandMother and GrandParent SubClassOf OffSpring, \nFalse
Son SubClassOf hasSex some Parent, \nTrue
Son SubClassOf GrandMother, \nFalse
Son SubClassOf Female, False
Son SubClassOf Father, \nFalse
Son SubClassOf Child, \nTrue
Son SubClassOf Thing, \nTrue
Son SubClassOf Child and Thing, \nTrue
Son SubClassOf Person, False
Son SubClassOf Brother, \nTrue
Son SubClassOf Brother and Child and Thing, \nTrue
Son SubClassOf Parent, \nFalse
Son SubClassOf Daughter, \nTrue
Son SubClassOf Brother and Child and Daughter and Thing, \nTrue
Son SubClassOf Man, \nTrue
Son SubClassOf Brother and Child and Daughter and Man and Thing, \nHere
Son SubClassOf Mother, \nTrue
Son SubClassOf Brother and Child and Daughter and Mother and Thing, \nTrue
Son SubClassOf GrandParent, \nFalse
Son SubClassOf Sex, \nFalse
Son SubClassOf Sister, \nFalse
Son SubClassOf OffSpring, \nFalse
Son SubClassOf Woman, \nFalse
Son SubClassOf Male, False
Son SubClassOf Sibling, \nTrue
Son SubClassOf Brother and Child and Daughter and Mother and Sibling and Thing, \nHere
Son SubClassOf GrandFather, \nFalse
Son SubClassOf Brother and Child and Daughter and Man and Mother and Thing, \nHere
Parent SubClassOf hasChild some Male, True
Parent SubClassOf Person and Thing, \nTrue
Parent SubClassOf Person and Son and Thing, \nTrue
Parent SubClassOf Father and Person and Son and Thing, \nTrue
Parent SubClassOf Daughter and Father and Person and Son and Thing, \nTrue
Parent SubClassOf Daughter and Father and Mother and Person and Son and Thing, \nHere
Parent SubClassOf Daughter and Father and GrandParent and Person and Son and Thing, \nHere
Parent SubClassOf Daughter and Father and OffSpring and Person and Son and Thing, \nTrue
Parent SubClassOf Child and Daughter and Father and Mother and OffSpring and Person and Son and Thing, \nHere
Parent SubClassOf Child and Daughter and Father and GrandParent and OffSpring and Person and Son and Thing, \nHere
Female and GrandMother SubClassOf Daughter, \nTrue
Female and GrandMother SubClassOf Son, False
Female and GrandMother SubClassOf Father, \nFalse
Female and GrandMother SubClassOf Child, \nFalse
Female and GrandMother SubClassOf Person, False
Female and GrandMother SubClassOf Brother, False
Female and GrandMother SubClassOf Parent, \nTrue
GrandMother SubClassOf Parent, \nTrue
GrandMother SubClassOf Thing, False
GrandMother SubClassOf Son, \nFalse
GrandMother SubClassOf Female, False
GrandMother SubClassOf Father, False
GrandMother SubClassOf Child, \nFalse
GrandMother SubClassOf Person, \nTrue
GrandMother SubClassOf Parent and Person, True
GrandMother SubClassOf Brother, \nFalse
GrandMother SubClassOf Daughter, \nFalse
GrandMother SubClassOf Man, \nFalse
GrandMother SubClassOf Mother, \nTrue
GrandMother SubClassOf Mother and Parent and Person, \nTrue
GrandMother SubClassOf GrandParent, \nFalse
GrandMother SubClassOf Sex, False
GrandMother SubClassOf Sister, False
GrandMother SubClassOf OffSpring, False
GrandMother SubClassOf Woman, \nTrue
GrandMother SubClassOf Mother and Parent and Person and Woman, \nTrue
GrandMother SubClassOf Male, False
GrandMother SubClassOf Sibling, \nFalse
GrandMother SubClassOf GrandFather, False
GrandFather SubClassOf Daughter, False
Father and Mother SubClassOf Male, \nFalse
Daughter and OffSpring SubClassOf Father, \nTrue
Daughter and OffSpring SubClassOf GrandMother, \nFalse
Daughter and OffSpring SubClassOf Son, \nTrue
OffSpring SubClassOf Son, False
Daughter SubClassOf Son, \nTrue
Daughter SubClassOf GrandMother, \nFalse
Daughter SubClassOf Thing, \nTrue
Daughter SubClassOf Son and Thing, \nTrue
Daughter SubClassOf Female, \nTrue
Daughter SubClassOf Female and Son and Thing, \nTrue
Daughter SubClassOf Father, \nTrue
