Parent and Person SubClassOf Father, True
Parent and Person SubClassOf GrandMother, True
Person SubClassOf GrandMother, True
Person SubClassOf Thing, True
Person SubClassOf GrandMother and Thing, True
Person SubClassOf Son, True
Person SubClassOf GrandMother and Son and Thing, \nTrue
Person SubClassOf Female, True
Person SubClassOf Female and GrandMother and Son and Thing, \nFalse
Person SubClassOf Father, True
Person SubClassOf Father and GrandMother and Son and Thing, True
Person SubClassOf Child, True
Person SubClassOf Child and Father and GrandMother and Son and Thing, \nTrue
Person SubClassOf Brother, True
Person SubClassOf Brother and Child and Father and GrandMother and Son and Thing, \nTrue
Person SubClassOf Parent, True
Person SubClassOf Brother and Child and Father and GrandMother and Parent and Son and Thing, \nTrue
Person SubClassOf Daughter, True
Person SubClassOf Brother and Child and Daughter and Father and GrandMother and Parent and Son and Thing, \nTrue
Person SubClassOf Man, True
Person SubClassOf Brother and Child and Daughter and Father and GrandMother and Man and Parent and Son and Thing, \nTrue
Person SubClassOf Mother, True
Person SubClassOf Brother and Child and Daughter and Father and GrandMother and Man and Mother and Parent and Son and Thing, \nTrue
Person SubClassOf GrandParent, True
Person SubClassOf Brother and Child and Daughter and Father and GrandMother and GrandParent and Man and Mother and Parent and Son and Thing, \nTrue
Person SubClassOf Sex, True
Person SubClassOf Brother and Child and Daughter and Father and GrandMother and GrandParent and Man and Mother and Parent and Sex and Son and Thing, \nTrue
Person SubClassOf Sister, True
Person SubClassOf Brother and Child and Daughter and Father and GrandMother and GrandParent and Man and Mother and Parent and Sex and Sister and Son and Thing, \nTrue
Person SubClassOf OffSpring, True
Person SubClassOf Brother and Child and Daughter and Father and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Sex and Sister and Son and Thing, \nTrue
Person SubClassOf Woman, True
Person SubClassOf Brother and Child and Daughter and Father and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Sex and Sister and Son and Woman and Thing, \nTrue
Person SubClassOf Male, True
Person SubClassOf Brother and Child and Daughter and Father and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Sex and Sister and Son and Woman and Thing, \nTrue
Person SubClassOf Sibling, True
Person SubClassOf Brother and Child and Daughter and Father and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Sex and Sibling and Sister and Son and Woman and Thing, \nTrue
Person SubClassOf GrandFather, True
Person SubClassOf Brother and Child and Daughter and Father and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Sex and Sibling and Sister and Son and Woman and Thing, \nTrue
Person SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Sex and Sibling and Sister and Son and Woman and Thing, \nTrue
GrandFather SubClassOf OffSpring, True
GrandFather SubClassOf GrandMother, \nTrue
GrandFather SubClassOf Thing, True
GrandFather SubClassOf GrandMother and Thing, True
GrandFather SubClassOf Son, True
GrandFather SubClassOf GrandMother and Son and Thing, \nTrue
GrandFather SubClassOf Female, True
GrandFather SubClassOf Female and GrandMother and Son and Thing, \nTrue
GrandFather SubClassOf Father, True
GrandFather SubClassOf Father and Female and GrandMother and Son and Thing, \nTrue
GrandFather SubClassOf Child, True
GrandFather SubClassOf Child and Father and Female and GrandMother and Son and Thing, \nTrue
GrandFather SubClassOf Person, True
GrandFather SubClassOf Child and Father and Female and GrandMother and Person and Son and Thing, \nTrue
GrandFather SubClassOf Brother, \nFalse
GrandFather SubClassOf Parent, True
GrandFather SubClassOf Child and Father and Female and GrandMother and Parent and Person and Son and Thing, \nTrue
GrandFather SubClassOf Daughter, True
GrandFather SubClassOf Child and Daughter and Father and Female and GrandMother and Parent and Person and Son and Thing, \nTrue
GrandFather SubClassOf Man, True
GrandFather SubClassOf Child and Daughter and Father and Female and GrandMother and Man and Parent and Person and Son and Thing, \nTrue
GrandFather SubClassOf Mother, True
GrandFather SubClassOf Child and Daughter and Father and Female and GrandMother and Man and Mother and Parent and Person and Son and Thing, \nTrue
GrandFather SubClassOf GrandParent, True
GrandFather SubClassOf Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Mother and Parent and Person and Son and Thing, \nTrue
GrandFather SubClassOf Sex, \nTrue
GrandFather SubClassOf Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Son and Thing, \nTrue
GrandFather SubClassOf Sister, \nFalse
GrandFather SubClassOf Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Sex and Son and Thing, \nTrue
GrandFather SubClassOf Woman, True
GrandFather SubClassOf Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing, \nTrue
GrandFather SubClassOf Male, True
GrandFather SubClassOf Child and Daughter and Father and Female and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing, \nTrue
GrandFather SubClassOf Sibling, True
GrandFather SubClassOf Child and Daughter and Father and Female and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Son and Woman and Thing, \nTrue
hasParent some GrandMother SubClassOf Male, True
hasParent some GrandMother SubClassOf GrandMother, True
GrandMother SubClassOf GrandMother, True
Thing SubClassOf Thing and (hasParent some (GrandMother and Thing)), True
GrandMother and Thing SubClassOf Son, True
Thing SubClassOf Son, True
GrandMother and GrandParent SubClassOf OffSpring, \nTrue
GrandMother and GrandParent SubClassOf Female, True
GrandParent SubClassOf Female, True
GrandParent SubClassOf GrandMother, True
GrandParent SubClassOf Female and GrandMother, True
GrandParent SubClassOf Thing, True
GrandParent SubClassOf Female and GrandMother and Thing, \nFalse
GrandParent SubClassOf Son, True
GrandParent SubClassOf Female and GrandMother and Son, \nTrue
GrandParent SubClassOf Father, True
GrandParent SubClassOf Father and Female and GrandMother and Son, \nTrue
GrandParent SubClassOf Child, True
GrandParent SubClassOf Child and Father and Female and GrandMother and Son, \nTrue
GrandParent SubClassOf Person, True
GrandParent SubClassOf Child and Father and Female and GrandMother and Person and Son, \nTrue
GrandParent SubClassOf Brother, True
GrandParent SubClassOf Brother and Child and Father and Female and GrandMother and Person and Son, \nTrue
GrandParent SubClassOf Parent, True
GrandParent SubClassOf Brother and Child and Father and Female and GrandMother and Parent and Person and Son, \nTrue
GrandParent SubClassOf Daughter, True
GrandParent SubClassOf Brother and Child and Daughter and Father and Female and GrandMother and Parent and Person and Son, \nTrue
GrandParent SubClassOf Man, True
GrandParent SubClassOf Brother and Child and Daughter and Father and Female and GrandMother and Man and Parent and Person and Son, \nTrue
GrandParent SubClassOf Mother, True
GrandParent SubClassOf Brother and Child and Daughter and Father and Female and GrandMother and Man and Mother and Parent and Person and Son, \nTrue
GrandParent SubClassOf Sex, True
GrandParent SubClassOf Brother and Child and Daughter and Father and Female and GrandMother and Man and Mother and Parent and Person and Sex and Son, \nTrue
GrandParent SubClassOf Sister, \nFalse
GrandParent SubClassOf OffSpring, True
GrandParent SubClassOf Brother and Child and Daughter and Father and Female and GrandMother and Man and Mother and OffSpring and Parent and Person and Sex and Son, \nTrue
GrandParent SubClassOf Woman, True
GrandParent SubClassOf Brother and Child and Daughter and Father and Female and GrandMother and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman, \nTrue
