Parent and Person SubClassOf Father, \nTrue
Parent and Person SubClassOf GrandMother, \nTrue
Person SubClassOf GrandMother, True
Person SubClassOf Thing, \nTrue
Person SubClassOf GrandMother and Thing, True
Person SubClassOf Son, \nTrue
Person SubClassOf GrandMother and Son and Thing, \nTrue
Person SubClassOf Female, False
Person SubClassOf Father, True
Person SubClassOf Father and GrandMother and Son and Thing, True
Person SubClassOf Child, True
Person SubClassOf Child and Father and GrandMother and Son and Thing, False
Person SubClassOf Brother, \nFalse
Person SubClassOf Parent, True
Person SubClassOf Father and GrandMother and Parent and Son and Thing, False
Person SubClassOf Daughter, True
Person SubClassOf Daughter and Father and GrandMother and Son and Thing, \nFalse
Person SubClassOf Man, True
Person SubClassOf Father and GrandMother and Man and Son and Thing, False
Person SubClassOf Mother, True
Person SubClassOf Father and GrandMother and Mother and Son and Thing, True
Person SubClassOf GrandParent, \nTrue
Person SubClassOf Father and GrandMother and GrandParent and Mother and Son and Thing, \nFalse
Person SubClassOf Sex, True
Person SubClassOf Father and GrandMother and Mother and Sex and Son and Thing, \nFalse
Person SubClassOf Sister, True
Person SubClassOf Father and GrandMother and Mother and Sister and Son and Thing, True
Person SubClassOf OffSpring, True
Person SubClassOf Father and GrandMother and Mother and OffSpring and Sister and Son and Thing, \nTrue
Person SubClassOf Woman, False
Person SubClassOf Male, True
Person SubClassOf Father and GrandMother and Male and Mother and OffSpring and Sister and Son and Thing, True
Person SubClassOf Sibling, True
Person SubClassOf Father and GrandMother and Male and Mother and OffSpring and Sibling and Sister and Son and Thing, \nFalse
Person SubClassOf GrandFather, \nTrue
Person SubClassOf Father and GrandFather and GrandMother and Male and Mother and OffSpring and Sister and Son and Thing, True
Person SubClassOf Child and Father and GrandFather and GrandMother and Male and Mother and OffSpring and Sister and Son and Thing, \nTrue
Person SubClassOf Child and Father and GrandFather and GrandMother and Male and Mother and OffSpring and Parent and Sister and Son and Thing, \nTrue
Person SubClassOf Child and Daughter and Father and GrandFather and GrandMother and Male and Mother and OffSpring and Parent and Sister and Son and Thing, \nTrue
Person SubClassOf Child and Daughter and Father and GrandFather and GrandMother and Male and Man and Mother and OffSpring and Parent and Sister and Son and Thing, \nTrue
Person SubClassOf Child and Daughter and Father and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Sister and Son and Thing, \nTrue
Person SubClassOf Child and Daughter and Father and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Sex and Sister and Son and Thing, \nTrue
Person SubClassOf Child and Daughter and Father and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Sex and Sibling and Sister and Son and Thing, \nTrue
GrandParent and Person SubClassOf Woman, \nTrue
GrandParent and Person SubClassOf Female, True
GrandParent SubClassOf Female, False
GrandFather SubClassOf OffSpring, False
hasParent some GrandMother SubClassOf Male, True
hasParent some GrandMother SubClassOf GrandMother, True
GrandMother SubClassOf GrandMother, False
Thing SubClassOf Thing and (hasParent some (GrandMother and Thing)), True
GrandMother and Thing SubClassOf Son, \nFalse
GrandMother and Thing SubClassOf Female, False
GrandMother and Thing SubClassOf Father, \nFalse
GrandMother and Thing SubClassOf Child, True
Thing SubClassOf Child, True
