BallGame and FootballTeam SubClassOf Player, \nTrue
BallGame and FootballTeam SubClassOf Manager, \nFalse
BallGame and FootballTeam SubClassOf Team, \nTrue
FootballTeam SubClassOf Team, True
FootballTeam SubClassOf Thing, True
FootballTeam SubClassOf Team and Thing, \nTrue
FootballTeam SubClassOf Manager, False
FootballTeam SubClassOf Player, \nFalse
FootballTeam SubClassOf Game, True
FootballTeam SubClassOf Game and Team and Thing, \nTrue
FootballTeam SubClassOf FootballPlayer, False
FootballTeam SubClassOf Football, \nTrue
FootballTeam SubClassOf Football and Game and Team and Thing, \nTrue
FootballTeam SubClassOf Person, False
FootballTeam SubClassOf BallGame, True
FootballTeam SubClassOf BallGame and Football and Game and Team and Thing, \nTrue
plays_for some BallGame SubClassOf Team, \nTrue
plays_for some BallGame SubClassOf Manager, \nTrue
BallGame SubClassOf Manager, False
Thing SubClassOf Thing and (plays_for some (BallGame and Thing)), \nTrue
BallGame and Thing SubClassOf Manager, \nTrue
Thing SubClassOf Manager, False
BallGame and FootballTeam SubClassOf Person, \nFalse
FootballPlayer and Person SubClassOf Game, \nTrue
FootballPlayer and Person SubClassOf Manager, \nTrue
FootballPlayer SubClassOf Manager, \nFalse
Person SubClassOf Manager, False
BallGame and FootballPlayer SubClassOf Football, \nTrue
BallGame and FootballPlayer SubClassOf Team, \nTrue
FootballPlayer SubClassOf Team, \nTrue
FootballPlayer SubClassOf Thing, True
FootballPlayer SubClassOf Team and Thing, \nTrue
FootballPlayer SubClassOf Player, True
FootballPlayer SubClassOf Player and Team and Thing, True
FootballPlayer SubClassOf FootballTeam, \nTrue
FootballPlayer SubClassOf FootballTeam and Player and Team and Thing, \nTrue
FootballPlayer SubClassOf Game, True
FootballPlayer SubClassOf FootballTeam and Game and Player and Team and Thing, \nTrue
FootballPlayer SubClassOf Football, True
FootballPlayer SubClassOf Football and FootballTeam and Game and Player and Team and Thing, \nTrue
FootballPlayer SubClassOf Person, \nTrue
FootballPlayer SubClassOf Football and FootballTeam and Game and Person and Player and Team and Thing, \nTrue
FootballPlayer SubClassOf BallGame, False
managed_by some BallGame SubClassOf FootballPlayer, \nTrue
managed_by some BallGame SubClassOf Manager, True
Thing SubClassOf Thing and (managed_by some (BallGame and Manager and Thing)), \nTrue
BallGame and Manager and Thing SubClassOf Team, \nTrue
Manager and Thing SubClassOf Team, False
BallGame and Thing SubClassOf Team, \nTrue
FootballTeam and Team SubClassOf FootballPlayer, \nFalse
BallGame and Manager SubClassOf Game, \nTrue
BallGame and Manager SubClassOf Player, \nFalse
BallGame and Manager SubClassOf FootballTeam, \nFalse
Manager SubClassOf Game, \nFalse
BallGame SubClassOf Game, \nTrue
BallGame SubClassOf Thing, True
BallGame SubClassOf Game and Thing, \nTrue
BallGame SubClassOf Team, \nTrue
BallGame SubClassOf Game and Team and Thing, \nTrue
BallGame SubClassOf Player, False
BallGame SubClassOf FootballTeam, \nTrue
BallGame SubClassOf FootballTeam and Game and Team and Thing, \nTrue
BallGame SubClassOf FootballPlayer, False
BallGame SubClassOf Football, \nTrue
BallGame SubClassOf Football and FootballTeam and Game and Team and Thing, \nTrue
BallGame SubClassOf Person, False
FootballTeam and Player SubClassOf FootballPlayer, \nTrue
Player SubClassOf FootballPlayer, \nTrue
Player SubClassOf Thing, \nTrue
Player SubClassOf FootballPlayer and Thing, \nTrue
Player SubClassOf Manager, False
Player SubClassOf Team, False
Player SubClassOf FootballTeam, \nTrue
Player SubClassOf FootballPlayer and FootballTeam and Thing, \nTrue
Player SubClassOf Game, \nTrue
Player SubClassOf FootballPlayer and FootballTeam and Game and Thing, \nTrue
Player SubClassOf Football, \nTrue
Player SubClassOf Football and FootballPlayer and FootballTeam and Game and Thing, \nTrue
Player SubClassOf Person, False
Player SubClassOf BallGame, True
Player SubClassOf BallGame and Football and FootballPlayer and FootballTeam and Game and Thing, \nTrue
Game SubClassOf plays some BallGame, True
Game SubClassOf Manager, False
Game SubClassOf Team, True
Game SubClassOf Thing, True
Game SubClassOf Team and Thing, True
Game SubClassOf Player, True
Game SubClassOf Player and Team and Thing, \nTrue
Game SubClassOf FootballTeam, \nTrue
Game SubClassOf FootballTeam and Player and Team and Thing, \nTrue
Game SubClassOf FootballPlayer, \nTrue
Game SubClassOf FootballPlayer and FootballTeam and Player and Team and Thing, \nHere
Game SubClassOf Football, \nTrue
Game SubClassOf Football and FootballTeam and Player and Team and Thing, \nHere
Game SubClassOf Person, True
Game SubClassOf FootballTeam and Person and Player and Team and Thing, \nHere
Game SubClassOf BallGame, \nTrue
Game SubClassOf BallGame and FootballTeam and Player and Team and Thing, \nHere
plays some Team SubClassOf FootballPlayer, \nTrue
plays some Team SubClassOf Manager, \nFalse
plays some Team SubClassOf Team, \nTrue
Team SubClassOf Team, \nTrue
Thing SubClassOf Thing and (plays some (Team and Thing)), \nTrue
Team and Thing SubClassOf Manager, \nTrue
Person SubClassOf FootballPlayer, \nTrue
Person SubClassOf Team, False
Person SubClassOf Player, False
Person SubClassOf FootballTeam, \nFalse
Person SubClassOf Game, False
Person SubClassOf Thing, False
Person SubClassOf Football, False
Person SubClassOf BallGame, False
plays_for some Manager SubClassOf Football, \nTrue
plays_for some Manager SubClassOf Manager, \nTrue
Manager SubClassOf Manager, False
Thing SubClassOf Thing and (plays_for some (Manager and Thing)), \nTrue
Manager and Thing SubClassOf Player, False
Manager and Thing SubClassOf FootballTeam, False
Manager and Thing SubClassOf Game, False
Manager and Thing SubClassOf FootballPlayer, False
Manager and Thing SubClassOf Football, False
Manager and Thing SubClassOf Person, \nTrue
Thing SubClassOf Person, False
plays some FootballTeam SubClassOf BallGame, True
plays some FootballTeam SubClassOf Manager, \nTrue
Thing SubClassOf Thing and (plays some (BallGame and Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing)), \nTrue
Thing and (plays some BallGame) and (plays some (Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing)) SubClassOf Thing and (plays some (BallGame and Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing)), \nTrue
Thing and (plays some (BallGame and Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing)) SubClassOf Thing and (plays some (BallGame and Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing)), \nTrue
Thing and (plays some (Football and FootballPlayer and FootballTeam and Game and Manager and Person and Player and Team and Thing)) SubClassOf Manager, \nFalse
