Parent and Person SubClassOf Father,  False.
GrandParent and Person SubClassOf Woman,  False.
GrandFather SubClassOf OffSpring,  False.
hasParent some GrandMother SubClassOf Male,  False.
GrandMother and GrandParent SubClassOf OffSpring,  False.
Son SubClassOf hasSex some Parent,  False.
Parent SubClassOf hasChild some Male,  False.
Female and GrandMother SubClassOf Daughter,  False.
GrandFather SubClassOf Daughter,  False.
Father and Mother SubClassOf Male,  False.
Daughter and OffSpring SubClassOf Father,  False.
Male and Mother SubClassOf Sister,  False.
hasSex some OffSpring SubClassOf GrandMother,  False.
Man and Woman SubClassOf Sister,  False.
Male SubClassOf hasSibling some Mother,  False.
hasParent some Sister SubClassOf Sex,  False.
Son SubClassOf hasParent some Brother,  False.
GrandFather and OffSpring SubClassOf Son,  False.
Sibling and Son SubClassOf Woman,  False.
hasSibling some Female SubClassOf Sex,  True.
hasSibling some Female SubClassOf GrandMother,  False.
hasSibling some Female SubClassOf Son,  False.
hasSibling some Female SubClassOf Female,  True.
Female SubClassOf Female,  True.
Thing SubClassOf hasSibling some Female,  False.
Thing SubClassOf GrandMother,  False.
Thing SubClassOf Son,  False.
Thing SubClassOf Female,  False.
Thing SubClassOf Father,  False.
Thing SubClassOf Child,  False.
Thing SubClassOf Person,  False.
Thing SubClassOf Brother,  False.
Thing SubClassOf Parent,  Answ
Thing SubClassOf Daughter,  False.
Thing SubClassOf Man,  False.
Thing SubClassOf Mother,  False.
Thing SubClassOf GrandParent,  False.
Thing SubClassOf Sex,  False.
Thing SubClassOf Sister,  False.
Thing SubClassOf OffSpring,  False.
Thing SubClassOf Woman,  False.
Thing SubClassOf Male,  False.
Thing SubClassOf Sibling,  False.
Thing SubClassOf GrandFather,  False.
Female SubClassOf GrandMother,  False.
Female SubClassOf Son,  False.
Female SubClassOf Father,  False.
Female SubClassOf Child,  False.
Female SubClassOf Person,  True.
Father and Mother SubClassOf Son,  False.
GrandFather and Woman SubClassOf Brother,  False.
Child and Person SubClassOf Male,  False.
Female and GrandMother SubClassOf OffSpring,  False.
Father and Mother SubClassOf OffSpring,  False.
Parent and Sister SubClassOf Child,  False.
Man SubClassOf Son,  False.
hasSex some Woman SubClassOf Male,  False.
hasChild some Child SubClassOf Child,  False.
hasParent some OffSpring SubClassOf Person,  False.
hasSibling some Son SubClassOf Person,  True.
