Parent and Person SubClassOf Father,  False.
GrandParent and Person SubClassOf Woman,  False.
GrandFather SubClassOf OffSpring,  False.
hasParent some GrandMother SubClassOf Male,  False\n
GrandMother and GrandParent SubClassOf OffSpring,  True.
GrandMother and GrandParent SubClassOf Son,  False.
GrandMother and GrandParent SubClassOf Female,  False.
GrandMother and GrandParent SubClassOf Father,  False.
GrandMother and GrandParent SubClassOf Child,  False.
GrandMother and GrandParent SubClassOf Person,  True.
GrandParent SubClassOf Person,  True.
GrandParent SubClassOf GrandMother,  False.
GrandParent SubClassOf Thing,  True.
GrandParent SubClassOf Person and Thing,  False:
GrandParent SubClassOf Son,  False.
GrandParent SubClassOf Female,  False.
GrandParent SubClassOf Father,  False.
GrandParent SubClassOf Child,  False.
GrandParent SubClassOf Brother,  False.
GrandParent SubClassOf Parent,  False.
GrandParent SubClassOf Daughter,  False.
GrandParent SubClassOf Man,  False.
GrandParent SubClassOf Mother,  False.
GrandParent SubClassOf Sex,  False.
GrandParent SubClassOf Sister,  False.
GrandParent SubClassOf OffSpring,  False.
GrandParent SubClassOf Woman,  False.
GrandParent SubClassOf Male,  False.
GrandParent SubClassOf Sibling,  False.
GrandParent SubClassOf GrandFather,  False.
Son SubClassOf hasSex some Parent,  False.
Parent SubClassOf hasChild some Male,  False.
Female and GrandMother SubClassOf Daughter,  False.
GrandFather SubClassOf Daughter,  False.
Father and Mother SubClassOf Male,  False.
Daughter and OffSpring SubClassOf Father,  False.
Male and Mother SubClassOf Sister,  False.
hasSex some OffSpring SubClassOf GrandMother,  False.
Man and Woman SubClassOf Sister,  False.
Male SubClassOf hasSibling some Mother,  False.
hasParent some Sister SubClassOf Sex,  False.
Son SubClassOf hasParent some Brother,  False.
GrandFather and OffSpring SubClassOf Son,  False.
Sibling and Son SubClassOf Woman,  False.
hasSibling some Female SubClassOf Sex,  True.
hasSibling some Female SubClassOf GrandMother,  False.
hasSibling some Female SubClassOf Son,  False.
hasSibling some Female SubClassOf Female,  True.
Female SubClassOf Female,  False.
Thing SubClassOf hasSibling some Female,  False.
Thing SubClassOf GrandMother,  False.
Thing SubClassOf Son,  False.
Thing SubClassOf Female,  False.
Thing SubClassOf Father,  False.
Thing SubClassOf Child,  In the
Thing SubClassOf Person,  The answer
Thing SubClassOf Brother,  False.
