Parent and Person SubClassOf Father, \nFalse
GrandParent and Person SubClassOf Woman, \nFalse
GrandFather SubClassOf OffSpring, False
hasParent some GrandMother SubClassOf Male, \nFalse
GrandMother and GrandParent SubClassOf OffSpring, \nFalse
Son SubClassOf hasSex some Parent, \nTrue
Son SubClassOf GrandMother, \nFalse
Son SubClassOf Female, \nFalse
Son SubClassOf Father, True
Son SubClassOf Thing, \nFalse
Son SubClassOf Child, \nTrue
Son SubClassOf Child and Father, \nFalse
Son SubClassOf Person, \nFalse
Son SubClassOf Brother, \nFalse
Son SubClassOf Parent, \nTrue
Son SubClassOf Father and Parent, \nTrue
Son SubClassOf Daughter, True
Son SubClassOf Daughter and Father and Parent, \nTrue
Son SubClassOf Man, \nTrue
Son SubClassOf Daughter and Father and Man and Parent, \nTrue
Son SubClassOf Mother, \nFalse
Son SubClassOf GrandParent, \nTrue
Son SubClassOf Daughter and Father and GrandParent and Man and Parent, \nTrue
Son SubClassOf Sex, \nFalse
Son SubClassOf Sister, \nFalse
Son SubClassOf OffSpring, \nTrue
Son SubClassOf Daughter and Father and GrandParent and Man and OffSpring and Parent, \nTrue
Son SubClassOf Woman, \nTrue
Son SubClassOf Daughter and Father and GrandParent and Man and OffSpring and Parent and Woman, \nFalse
Son SubClassOf Male, \nFalse
Son SubClassOf Sibling, \nFalse
Son SubClassOf GrandFather, \nTrue
Son SubClassOf Daughter and Father and GrandFather and GrandParent and Man and OffSpring and Parent, \nTrue
Son SubClassOf Child and Daughter and Father and GrandFather and GrandParent and Man and OffSpring and Parent, \nHere
Son SubClassOf Daughter and Father and GrandFather and GrandParent and Man and OffSpring and Parent and Woman, \nHere
Parent SubClassOf hasChild some Male, \nFalse
Female and GrandMother SubClassOf Daughter, \nFalse
GrandFather SubClassOf Daughter, False
Father and Mother SubClassOf Male, \nFalse
Daughter and OffSpring SubClassOf Father, \nFalse
Male and Mother SubClassOf Sister, \nFalse
hasSex some OffSpring SubClassOf GrandMother, \nFalse
